#    L    TT             EE             TE             PP             TP          
   305    0.40756E+04    0.82699E+01    0.11522E+03    0.16928E+07    0.38156E+03
   306    0.40436E+04    0.84350E+01    0.11566E+03    0.16858E+07    0.37804E+03
   307    0.40115E+04    0.86012E+01    0.11606E+03    0.16789E+07    0.37452E+03
   308    0.39794E+04    0.87700E+01    0.11644E+03    0.16719E+07    0.37102E+03
   309    0.39472E+04    0.89384E+01    0.11677E+03    0.16651E+07    0.36752E+03
   310    0.39149E+04    0.91073E+01    0.11708E+03    0.16583E+07    0.36403E+03
   311    0.38826E+04    0.92788E+01    0.11735E+03    0.16515E+07    0.36054E+03
   312    0.38502E+04    0.94500E+01    0.11759E+03    0.16447E+07    0.35707E+03
   313    0.38178E+04    0.96224E+01    0.11778E+03    0.16380E+07    0.35361E+03
   314    0.37854E+04    0.97959E+01    0.11796E+03    0.16314E+07    0.35016E+03
   315    0.37529E+04    0.99692E+01    0.11809E+03    0.16248E+07    0.34671E+03
   316    0.37205E+04    0.10144E+02    0.11818E+03    0.16182E+07    0.34328E+03
