#    L    TT             EE             BB             TE             PP             TP             EP          
   210    0.55037E+04    0.65447E+00    0.11492E-01   -0.82160E+01    0.58048E-07    0.27205E-04   -0.29205E-06
   211    0.55129E+04    0.65758E+00    0.11461E-01   -0.69319E+01    0.57740E-07    0.27207E-04   -0.27788E-06
   212    0.55214E+04    0.66166E+00    0.11436E-01   -0.56302E+01    0.57435E-07    0.27204E-04   -0.26364E-06
   213    0.55295E+04    0.66676E+00    0.11417E-01   -0.43108E+01    0.57132E-07    0.27196E-04   -0.24934E-06
   214    0.55369E+04    0.67286E+00    0.11404E-01   -0.29748E+01    0.56832E-07    0.27183E-04   -0.23497E-06
   215    0.55438E+04    0.68015E+00    0.11397E-01   -0.16229E+01    0.56534E-07    0.27166E-04   -0.22054E-06
   216    0.55501E+04    0.68846E+00    0.11395E-01   -0.25431E+00    0.56239E-07    0.27144E-04   -0.20607E-06
   217    0.55558E+04    0.69793E+00    0.11398E-01    0.11290E+01    0.55946E-07    0.27118E-04   -0.19155E-06
   218    0.55610E+04    0.70857E+00    0.11406E-01    0.25274E+01    0.55656E-07    0.27087E-04   -0.17699E-06
   219    0.55656E+04    0.72036E+00    0.11418E-01    0.39419E+01    0.55368E-07    0.27052E-04   -0.16239E-06
   220    0.55696E+04    0.73347E+00    0.11435E-01    0.53682E+01    0.55082E-07    0.27012E-04   -0.14777E-06
   221    0.55731E+04    0.74781E+00    0.11456E-01    0.68087E+01    0.54799E-07    0.26969E-04   -0.13312E-06
   222    0.55760E+04    0.76353E+00    0.11481E-01    0.82620E+01    0.54518E-07    0.26921E-04   -0.11846E-06
   223    0.55782E+04    0.78056E+00    0.11509E-01    0.97289E+01    0.54239E-07    0.26870E-04   -0.10378E-06
   224    0.55799E+04    0.79889E+00    0.11541E-01    0.11206E+02    0.53962E-07    0.26814E-04   -0.89095E-07
   225    0.55811E+04    0.81868E+00    0.11576E-01    0.12696E+02    0.53688E-07    0.26755E-04   -0.74409E-07
   226    0.55817E+04    0.83991E+00    0.11614E-01    0.14196E+02    0.53416E-07    0.26692E-04   -0.59725E-07
