#    L    TT             EE             BB             TE             PP             TP             EP          
   188    0.51635E+04    0.73282E+00    0.00000E+00   -0.31422E+02    0.65515E-07    0.25790E-04   -0.56777E-06
   189    0.51835E+04    0.72374E+00    0.00000E+00   -0.30612E+02    0.65144E-07    0.25914E-04   -0.55812E-06
   190    0.52034E+04    0.71494E+00    0.00000E+00   -0.29779E+02    0.64777E-07    0.26032E-04   -0.54801E-06
   191    0.52225E+04    0.70641E+00    0.00000E+00   -0.28920E+02    0.64412E-07    0.26145E-04   -0.53749E-06
   192    0.52412E+04    0.69818E+00    0.00000E+00   -0.28037E+02    0.64051E-07    0.26252E-04   -0.52657E-06
   193    0.52595E+04    0.69029E+00    0.00000E+00   -0.27131E+02    0.63693E-07    0.26353E-04   -0.51528E-06
   194    0.52774E+04    0.68275E+00    0.00000E+00   -0.26201E+02    0.63338E-07    0.26449E-04   -0.50367E-06
   195    0.52948E+04    0.67561E+00    0.00000E+00   -0.25247E+02    0.62986E-07    0.26539E-04   -0.49175E-06
   196    0.53117E+04    0.66889E+00    0.00000E+00   -0.24270E+02    0.62637E-07    0.26623E-04   -0.47955E-06
   197    0.53281E+04    0.66262E+00    0.00000E+00   -0.23271E+02    0.62291E-07    0.26701E-04   -0.46710E-06
   198    0.53442E+04    0.65683E+00    0.00000E+00   -0.22249E+02    0.61948E-07    0.26773E-04   -0.45444E-06
   199    0.53598E+04    0.65155E+00    0.00000E+00   -0.21205E+02    0.61608E-07    0.26840E-04   -0.44159E-06
   200    0.53749E+04    0.64679E+00    0.00000E+00   -0.20139E+02    0.61271E-07    0.26901E-04   -0.42858E-06
   201    0.53895E+04    0.64261E+00    0.00000E+00   -0.19050E+02    0.60936E-07    0.26956E-04   -0.41543E-06
   202    0.54036E+04    0.63903E+00    0.00000E+00   -0.17940E+02    0.60604E-07    0.27006E-04   -0.40215E-06
   203    0.54172E+04    0.63609E+00    0.00000E+00   -0.16808E+02    0.60275E-07    0.27049E-04   -0.38875E-06
   204    0.54302E+04    0.63382E+00    0.00000E+00   -0.15658E+02    0.59949E-07    0.27088E-04   -0.37524E-06
   205    0.54428E+04    0.63226E+00    0.00000E+00   -0.14485E+02    0.59626E-07    0.27121E-04   -0.36162E-06
   206    0.54547E+04    0.63145E+00    0.00000E+00   -0.13292E+02    0.59305E-07    0.27148E-04   -0.34789E-06
   207    0.54662E+04    0.63141E+00    0.00000E+00   -0.12080E+02    0.58987E-07    0.27170E-04   -0.33407E-06
   208    0.54770E+04    0.63219E+00    0.00000E+00   -0.10848E+02    0.58671E-07    0.27187E-04   -0.32015E-06
   209    0.54873E+04    0.63381E+00    0.00000E+00   -0.95961E+01    0.58358E-07    0.27199E-04   -0.30614E-06
   210    0.54970E+04    0.63632E+00    0.00000E+00   -0.83260E+01    0.58048E-07    0.27205E-04   -0.29205E-06
   211    0.55062E+04    0.63976E+00    0.00000E+00   -0.70375E+01    0.57740E-07    0.27207E-04   -0.27788E-06
   212    0.55146E+04    0.64415E+00    0.00000E+00   -0.57312E+01    0.57435E-07    0.27204E-04   -0.26364E-06
   213    0.55227E+04    0.64954E+00    0.00000E+00   -0.44071E+01    0.57132E-07    0.27196E-04   -0.24934E-06
   214    0.55300E+04    0.65591E+00    0.00000E+00   -0.30662E+01    0.56832E-07    0.27183E-04   -0.23497E-06
   215    0.55369E+04    0.66346E+00    0.00000E+00   -0.17091E+01    0.56534E-07    0.27166E-04   -0.22054E-06
   216    0.55431E+04    0.67200E+00    0.00000E+00   -0.33535E+00    0.56239E-07    0.27144E-04   -0.20607E-06
   217    0.55489E+04    0.68169E+00    0.00000E+00    0.10533E+01    0.55946E-07    0.27118E-04   -0.19155E-06
   218    0.55540E+04    0.69253E+00    0.00000E+00    0.24572E+01    0.55656E-07    0.27087E-04   -0.17699E-06
   219    0.55585E+04    0.70452E+00    0.00000E+00    0.38773E+01    0.55368E-07    0.27052E-04   -0.16239E-06
   220    0.55626E+04    0.71779E+00    0.00000E+00    0.53093E+01    0.55082E-07    0.27012E-04   -0.14777E-06
   221    0.55660E+04    0.73229E+00    0.00000E+00    0.67555E+01    0.54799E-07    0.26969E-04   -0.13312E-06
   222    0.55689E+04    0.74815E+00    0.00000E+00    0.82146E+01    0.54518E-07    0.26921E-04   -0.11846E-06
   223    0.55711E+04    0.76531E+00    0.00000E+00    0.96875E+01    0.54239E-07    0.26870E-04   -0.10378E-06
   224    0.55729E+04    0.78376E+00    0.00000E+00    0.11170E+02    0.53962E-07    0.26814E-04   -0.89095E-07
   225    0.55740E+04    0.80364E+00    0.00000E+00    0.12667E+02    0.53688E-07    0.26755E-04   -0.74409E-07
   226    0.55746E+04    0.82496E+00    0.00000E+00    0.14172E+02    0.53416E-07    0.26692E-04   -0.59725E-07
