#    L    TT             EE             TE             PP             TP          
   199    0.53597E+04    0.65156E+00   -0.21209E+02    0.28153E+07    0.62509E+03
   200    0.53748E+04    0.64680E+00   -0.20143E+02    0.27999E+07    0.62630E+03
   201    0.53894E+04    0.64263E+00   -0.19054E+02    0.27847E+07    0.62739E+03
   202    0.54036E+04    0.63904E+00   -0.17945E+02    0.27696E+07    0.62834E+03
   203    0.54172E+04    0.63610E+00   -0.16813E+02    0.27546E+07    0.62917E+03
   204    0.54302E+04    0.63382E+00   -0.15662E+02    0.27397E+07    0.62987E+03
   205    0.54428E+04    0.63226E+00   -0.14490E+02    0.27249E+07    0.63045E+03
   206    0.54547E+04    0.63145E+00   -0.13297E+02    0.27103E+07    0.63092E+03
   207    0.54662E+04    0.63140E+00   -0.12085E+02    0.26958E+07    0.63126E+03
   208    0.54770E+04    0.63218E+00   -0.10852E+02    0.26814E+07    0.63149E+03
   209    0.54872E+04    0.63380E+00   -0.96010E+01    0.26671E+07    0.63160E+03
   210    0.54970E+04    0.63631E+00   -0.83310E+01    0.26530E+07    0.63160E+03
   211    0.55061E+04    0.63974E+00   -0.70426E+01    0.26390E+07    0.63150E+03
   212    0.55146E+04    0.64413E+00   -0.57364E+01    0.26251E+07    0.63128E+03
   213    0.55226E+04    0.64951E+00   -0.44123E+01    0.26113E+07    0.63096E+03
   214    0.55300E+04    0.65587E+00   -0.30715E+01    0.25976E+07    0.63053E+03
   215    0.55369E+04    0.66342E+00   -0.17146E+01    0.25840E+07    0.63000E+03
   216    0.55431E+04    0.67196E+00   -0.34084E+00    0.25705E+07    0.62937E+03
   217    0.55489E+04    0.68165E+00    0.10477E+01    0.25572E+07    0.62865E+03
   218    0.55540E+04    0.69248E+00    0.24515E+01    0.25439E+07    0.62783E+03
   219    0.55586E+04    0.70446E+00    0.38715E+01    0.25308E+07    0.62691E+03
   220    0.55626E+04    0.71773E+00    0.53035E+01    0.25178E+07    0.62590E+03
   221    0.55660E+04    0.73222E+00    0.67497E+01    0.25049E+07    0.62480E+03
   222    0.55689E+04    0.74808E+00    0.82087E+01    0.24920E+07    0.62361E+03
   223    0.55711E+04    0.76523E+00    0.96815E+01    0.24793E+07    0.62234E+03
   224    0.55729E+04    0.78367E+00    0.11164E+02    0.24667E+07    0.62098E+03
   225    0.55740E+04    0.80354E+00    0.12660E+02    0.24542E+07    0.61954E+03
   226    0.55746E+04    0.82486E+00    0.14166E+02    0.24418E+07    0.61802E+03
   227    0.55745E+04    0.84761E+00    0.15683E+02    0.24295E+07    0.61642E+03
   228    0.55740E+04    0.87179E+00    0.17209E+02    0.24173E+07    0.61475E+03
   229    0.55729E+04    0.89749E+00    0.18744E+02    0.24052E+07    0.61300E+03
   230    0.55711E+04    0.92469E+00    0.20288E+02    0.23932E+07    0.61118E+03
   231    0.55687E+04    0.95348E+00    0.21841E+02    0.23813E+07    0.60929E+03
   232    0.55657E+04    0.98377E+00    0.23401E+02    0.23695E+07    0.60733E+03
   233    0.55623E+04    0.10158E+01    0.24967E+02    0.23577E+07    0.60530E+03
   234    0.55580E+04    0.10494E+01    0.26540E+02    0.23461E+07    0.60321E+03
   235    0.55533E+04    0.10846E+01    0.28118E+02    0.23346E+07    0.60106E+03
   236    0.55479E+04    0.11216E+01    0.29701E+02    0.23231E+07    0.59885E+03
   237    0.55420E+04    0.11602E+01    0.31289E+02    0.23118E+07    0.59658E+03
   238    0.55355E+04    0.12006E+01    0.32880E+02    0.23005E+07    0.59425E+03
   239    0.55284E+04    0.12427E+01    0.34475E+02    0.22893E+07    0.59187E+03
   240    0.55206E+04    0.12865E+01    0.36072E+02    0.22782E+07    0.58944E+03
   241    0.55124E+04    0.13322E+01    0.37671E+02    0.22672E+07    0.58695E+03
   242    0.55036E+04    0.13796E+01    0.39271E+02    0.22563E+07    0.58442E+03
   243    0.54942E+04    0.14288E+01    0.40872E+02    0.22454E+07    0.58184E+03
   244    0.54842E+04    0.14799E+01    0.42473E+02    0.22346E+07    0.57922E+03
   245    0.54736E+04    0.15328E+01    0.44073E+02    0.22240E+07    0.57656E+03
   246    0.54625E+04    0.15876E+01    0.45673E+02    0.22134E+07    0.57385E+03
   247    0.54509E+04    0.16442E+01    0.47270E+02    0.22028E+07    0.57111E+03
   248    0.54387E+04    0.17029E+01    0.48865E+02    0.21924E+07    0.56833E+03
   249    0.54260E+04    0.17633E+01    0.50458E+02    0.21820E+07    0.56551E+03
   250    0.54127E+04    0.18258E+01    0.52046E+02    0.21717E+07    0.56267E+03
   251    0.53990E+04    0.18900E+01    0.53630E+02    0.21615E+07    0.55979E+03
   252    0.53846E+04    0.19563E+01    0.55210E+02    0.21513E+07    0.55688E+03
   253    0.53699E+04    0.20244E+01    0.56783E+02    0.21413E+07    0.55395E+03
   254    0.53546E+04    0.20946E+01    0.58351E+02    0.21313E+07    0.55098E+03
   255    0.53387E+04    0.21667E+01    0.59911E+02    0.21213E+07    0.54799E+03
   256    0.53224E+04    0.22409E+01    0.61466E+02    0.21115E+07    0.54497E+03
   257    0.53056E+04    0.23170E+01    0.63005E+02    0.21017E+07    0.54193E+03
   258    0.52883E+04    0.23952E+01    0.64543E+02    0.20920E+07    0.53886E+03
   259    0.52705E+04    0.24755E+01    0.66064E+02    0.20823E+07    0.53576E+03
   260    0.52524E+04    0.25577E+01    0.67583E+02    0.20727E+07    0.53264E+03
   261    0.52337E+04    0.26420E+01    0.69078E+02    0.20632E+07    0.52950E+03
