#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   152    0.42068E+04   -0.44127E+02    0.23834E-06   -0.44127E+02    0.10351E+01   -0.43241E-08    0.23834E-06   -0.43241E-08    0.34393E-11
   153    0.42378E+04   -0.44188E+02    0.24067E-06   -0.44188E+02    0.10311E+01   -0.42029E-08    0.24067E-06   -0.42029E-08    0.33730E-11
   154    0.42687E+04   -0.44227E+02    0.24276E-06   -0.44227E+02    0.10268E+01   -0.40966E-08    0.24276E-06   -0.40966E-08    0.33083E-11
   155    0.42994E+04   -0.44245E+02    0.24463E-06   -0.44245E+02    0.10220E+01   -0.40043E-08    0.24463E-06   -0.40043E-08    0.32451E-11
   156    0.43297E+04   -0.44241E+02    0.24629E-06   -0.44241E+02    0.10169E+01   -0.39249E-08    0.24629E-06   -0.39249E-08    0.31834E-11
   157    0.43600E+04   -0.44214E+02    0.24775E-06   -0.44214E+02    0.10115E+01   -0.38576E-08    0.24775E-06   -0.38576E-08    0.31232E-11
   158    0.43901E+04   -0.44164E+02    0.24900E-06   -0.44164E+02    0.10057E+01   -0.38013E-08    0.24900E-06   -0.38013E-08    0.30645E-11
   159    0.44199E+04   -0.44092E+02    0.25008E-06   -0.44092E+02    0.99946E+00   -0.37553E-08    0.25008E-06   -0.37553E-08    0.30072E-11
   160    0.44496E+04   -0.43996E+02    0.25097E-06   -0.43996E+02    0.99290E+00   -0.37185E-08    0.25097E-06   -0.37185E-08    0.29512E-11
   161    0.44790E+04   -0.43877E+02    0.25170E-06   -0.43877E+02    0.98610E+00   -0.36899E-08    0.25170E-06   -0.36899E-08    0.28966E-11
   162    0.45083E+04   -0.43735E+02    0.25227E-06   -0.43735E+02    0.97889E+00   -0.36688E-08    0.25227E-06   -0.36688E-08    0.28433E-11
   163    0.45374E+04   -0.43569E+02    0.25269E-06   -0.43569E+02    0.97135E+00   -0.36540E-08    0.25269E-06   -0.36540E-08    0.27913E-11
   164    0.45661E+04   -0.43380E+02    0.25297E-06   -0.43380E+02    0.96356E+00   -0.36447E-08    0.25297E-06   -0.36447E-08    0.27405E-11
   165    0.45948E+04   -0.43166E+02    0.25312E-06   -0.43166E+02    0.95542E+00   -0.36400E-08    0.25312E-06   -0.36400E-08    0.26909E-11
   166    0.46231E+04   -0.42929E+02    0.25315E-06   -0.42929E+02    0.94709E+00   -0.36388E-08    0.25315E-06   -0.36388E-08    0.26424E-11
   167    0.46514E+04   -0.42668E+02    0.25306E-06   -0.42668E+02    0.93833E+00   -0.36403E-08    0.25306E-06   -0.36403E-08    0.25952E-11
   168    0.46792E+04   -0.42382E+02    0.25287E-06   -0.42382E+02    0.92952E+00   -0.36435E-08    0.25287E-06   -0.36435E-08    0.25490E-11
   169    0.47067E+04   -0.42072E+02    0.25259E-06   -0.42072E+02    0.92035E+00   -0.36475E-08    0.25259E-06   -0.36475E-08    0.25039E-11
   170    0.47341E+04   -0.41737E+02    0.25221E-06   -0.41737E+02    0.91105E+00   -0.36514E-08    0.25221E-06   -0.36514E-08    0.24598E-11
   171    0.47610E+04   -0.41376E+02    0.25177E-06   -0.41376E+02    0.90160E+00   -0.36541E-08    0.25177E-06   -0.36541E-08    0.24167E-11
   172    0.47876E+04   -0.40991E+02    0.25125E-06   -0.40991E+02    0.89193E+00   -0.36548E-08    0.25125E-06   -0.36548E-08    0.23746E-11
   173    0.48139E+04   -0.40581E+02    0.25068E-06   -0.40581E+02    0.88203E+00   -0.36526E-08    0.25068E-06   -0.36526E-08    0.23334E-11
